metric,handcrafted_features,frozen_resnet18,fine_tuned_resnet18,fine_tuned_minus_frozen
accuracy,0.7476543209876543,0.949383,0.9795061728395061,0.030123172839506163
macro_f1,0.7346142817553842,0.947055,0.9785400949175062,0.03148509491750617
log_loss,0.7374149953338679,0.159799,0.07407171916617017,-0.08572728083382983
multiclass_brier_score,0.3603268434120657,0.078636,0.03343749292798481,-0.045198507072015184
expected_calibration_error,0.024566124934231395,0.020928,0.0122128208919808,-0.0087151791080192
